Krum Server | DEBUG flwr 2024-03-20 13:33:44,507 | server.py:222 | fit_round 29: strategy sampled 190 clients (out of 190)
Krum Server | DEBUG flwr 2024-03-20 13:33:45,121 | server.py:236 | fit_round 29 received 190 results and 0 failures
Krum Server | INFO flwr 2024-03-20 13:33:45,386 | server.py:125 | fit progress: (29, 0.8325136003659278, {'accuracy': 0.6032}, 64.48587904300075)
Krum Server | DEBUG flwr 2024-03-20 13:33:45,387 | server.py:173 | evaluate_round 29: strategy sampled 190 clients (out of 190)
Krum Server | DEBUG flwr 2024-03-20 13:33:46,123 | server.py:187 | evaluate_round 29 received 190 results and 0 failures
Krum Server | DEBUG flwr 2024-03-20 13:33:46,123 | server.py:222 | fit_round 30: strategy sampled 190 clients (out of 190)
Krum Server | DEBUG flwr 2024-03-20 13:33:46,701 | server.py:236 | fit_round 30 received 190 results and 0 failures
Krum Server | INFO flwr 2024-03-20 13:33:47,018 | server.py:125 | fit progress: (30, 0.8321944384492741, {'accuracy': 0.5992}, 66.11742880090605)
Krum Server | DEBUG flwr 2024-03-20 13:33:47,019 | server.py:173 | evaluate_round 30: strategy sampled 190 clients (out of 190)
Krum Server | DEBUG flwr 2024-03-20 13:33:47,951 | server.py:187 | evaluate_round 30 received 190 results and 0 failures
Krum Server | DEBUG flwr 2024-03-20 13:33:47,952 | server.py:222 | fit_round 31: strategy sampled 190 clients (out of 190)
Krum Server | DEBUG flwr 2024-03-20 13:33:48,556 | server.py:236 | fit_round 31 received 190 results and 0 failures
Krum Server | INFO flwr 2024-03-20 13:33:48,889 | server.py:125 | fit progress: (31, 0.8291502522620633, {'accuracy': 0.6012}, 67.98899712692946)
Krum Server | DEBUG flwr 2024-03-20 13:33:48,893 | server.py:173 | evaluate_round 31: strategy sampled 190 clients (out of 190)
Krum Server | DEBUG flwr 2024-03-20 13:33:49,626 | server.py:187 | evaluate_round 31 received 190 results and 0 failures
Krum Server | DEBUG flwr 2024-03-20 13:33:49,627 | server.py:222 | fit_round 32: strategy sampled 190 clients (out of 190)
Krum Server | DEBUG flwr 2024-03-20 13:33:50,194 | server.py:236 | fit_round 32 received 190 results and 0 failures
Krum Server | INFO flwr 2024-03-20 13:33:50,361 | server.py:125 | fit progress: (32, 0.839885513743083, {'accuracy': 0.5972}, 69.4603133549681)
Krum Server | DEBUG flwr 2024-03-20 13:33:50,361 | server.py:173 | evaluate_round 32: strategy sampled 190 clients (out of 190)
Krum Server | DEBUG flwr 2024-03-20 13:33:51,097 | server.py:187 | evaluate_round 32 received 190 results and 0 failures
Krum Server | DEBUG flwr 2024-03-20 13:33:51,098 | server.py:222 | fit_round 33: strategy sampled 190 clients (out of 190)
Krum Server | DEBUG flwr 2024-03-20 13:33:51,684 | server.py:236 | fit_round 33 received 190 results and 0 failures
Krum Server | INFO flwr 2024-03-20 13:33:52,003 | server.py:125 | fit progress: (33, 0.8296625724440765, {'accuracy': 0.6037}, 71.10258545796387)
Krum Server | DEBUG flwr 2024-03-20 13:33:52,004 | server.py:173 | evaluate_round 33: strategy sampled 190 clients (out of 190)
Krum Server | DEBUG flwr 2024-03-20 13:33:52,757 | server.py:187 | evaluate_round 33 received 190 results and 0 failures
Krum Server | DEBUG flwr 2024-03-20 13:33:52,758 | server.py:222 | fit_round 34: strategy sampled 190 clients (out of 190)
Krum Server | DEBUG flwr 2024-03-20 13:33:53,316 | server.py:236 | fit_round 34 received 190 results and 0 failures
Krum Server | INFO flwr 2024-03-20 13:33:53,482 | server.py:125 | fit progress: (34, 0.8448414135726423, {'accuracy': 0.5969}, 72.58149320492521)
Krum Server | DEBUG flwr 2024-03-20 13:33:53,482 | server.py:173 | evaluate_round 34: strategy sampled 190 clients (out of 190)
Krum Server | DEBUG flwr 2024-03-20 13:33:54,215 | server.py:187 | evaluate_round 34 received 190 results and 0 failures
Krum Server | DEBUG flwr 2024-03-20 13:33:54,216 | server.py:222 | fit_round 35: strategy sampled 190 clients (out of 190)
Krum Server | DEBUG flwr 2024-03-20 13:33:54,811 | server.py:236 | fit_round 35 received 190 results and 0 failures
Krum Server | INFO flwr 2024-03-20 13:33:55,132 | server.py:125 | fit progress: (35, 0.8294815561367417, {'accuracy': 0.605}, 74.23138897493482)
Krum Server | DEBUG flwr 2024-03-20 13:33:55,135 | server.py:173 | evaluate_round 35: strategy sampled 190 clients (out of 190)
Krum Server | DEBUG flwr 2024-03-20 13:33:55,871 | server.py:187 | evaluate_round 35 received 190 results and 0 failures
Krum Server | DEBUG flwr 2024-03-20 13:33:55,872 | server.py:222 | fit_round 36: strategy sampled 190 clients (out of 190)
Krum Server | DEBUG flwr 2024-03-20 13:33:56,421 | server.py:236 | fit_round 36 received 190 results and 0 failures
Krum Server | INFO flwr 2024-03-20 13:33:56,602 | server.py:125 | fit progress: (36, 0.841726568062818, {'accuracy': 0.6005}, 75.70149594091345)
Krum Server | DEBUG flwr 2024-03-20 13:33:56,602 | server.py:173 | evaluate_round 36: strategy sampled 190 clients (out of 190)
Krum Server | DEBUG flwr 2024-03-20 13:33:57,342 | server.py:187 | evaluate_round 36 received 190 results and 0 failures
Krum Server | DEBUG flwr 2024-03-20 13:33:57,343 | server.py:222 | fit_round 37: strategy sampled 190 clients (out of 190)
Krum Server | DEBUG flwr 2024-03-20 13:33:58,002 | server.py:236 | fit_round 37 received 190 results and 0 failures
Krum Server | INFO flwr 2024-03-20 13:33:58,326 | server.py:125 | fit progress: (37, 0.8324508447570726, {'accuracy': 0.6017}, 77.42538195697125)
Krum Server | DEBUG flwr 2024-03-20 13:33:58,329 | server.py:173 | evaluate_round 37: strategy sampled 190 clients (out of 190)
Krum Server | DEBUG flwr 2024-03-20 13:33:59,047 | server.py:187 | evaluate_round 37 received 190 results and 0 failures
Krum Server | DEBUG flwr 2024-03-20 13:33:59,048 | server.py:222 | fit_round 38: strategy sampled 190 clients (out of 190)
Krum Server | DEBUG flwr 2024-03-20 13:33:59,616 | server.py:236 | fit_round 38 received 190 results and 0 failures
Krum Server | INFO flwr 2024-03-20 13:33:59,861 | server.py:125 | fit progress: (38, 0.8318039700806363, {'accuracy': 0.6046}, 78.96073571790475)
Krum Server | DEBUG flwr 2024-03-20 13:33:59,864 | server.py:173 | evaluate_round 38: strategy sampled 190 clients (out of 190)
Krum Server | DEBUG flwr 2024-03-20 13:34:00,585 | server.py:187 | evaluate_round 38 received 190 results and 0 failures
Krum Server | DEBUG flwr 2024-03-20 13:34:00,586 | server.py:222 | fit_round 39: strategy sampled 190 clients (out of 190)
Krum Server | DEBUG flwr 2024-03-20 13:34:01,141 | server.py:236 | fit_round 39 received 190 results and 0 failures
Krum Server | INFO flwr 2024-03-20 13:34:01,458 | server.py:125 | fit progress: (39, 0.8347868111779472, {'accuracy': 0.6032}, 80.55820701795164)
Krum Server | DEBUG flwr 2024-03-20 13:34:01,462 | server.py:173 | evaluate_round 39: strategy sampled 190 clients (out of 190)
Krum Server | DEBUG flwr 2024-03-20 13:34:02,203 | server.py:187 | evaluate_round 39 received 190 results and 0 failures
Krum Server | DEBUG flwr 2024-03-20 13:34:02,204 | server.py:222 | fit_round 40: strategy sampled 190 clients (out of 190)
Krum Server | DEBUG flwr 2024-03-20 13:34:02,784 | server.py:236 | fit_round 40 received 190 results and 0 failures
Krum Server | INFO flwr 2024-03-20 13:34:03,052 | server.py:125 | fit progress: (40, 0.8299079107443086, {'accuracy': 0.6072}, 82.15161049296148)
Krum Server | DEBUG flwr 2024-03-20 13:34:03,055 | server.py:173 | evaluate_round 40: strategy sampled 190 clients (out of 190)
Krum Server | DEBUG flwr 2024-03-20 13:34:03,788 | server.py:187 | evaluate_round 40 received 190 results and 0 failures
Krum Server | DEBUG flwr 2024-03-20 13:34:03,788 | server.py:222 | fit_round 41: strategy sampled 190 clients (out of 190)
Krum Server | DEBUG flwr 2024-03-20 13:34:04,352 | server.py:236 | fit_round 41 received 190 results and 0 failures
Krum Server | INFO flwr 2024-03-20 13:34:04,666 | server.py:125 | fit progress: (41, 0.8424153586440043, {'accuracy': 0.605}, 83.76536450488493)
Krum Server | DEBUG flwr 2024-03-20 13:34:04,666 | server.py:173 | evaluate_round 41: strategy sampled 190 clients (out of 190)
Krum Server | DEBUG flwr 2024-03-20 13:34:05,395 | server.py:187 | evaluate_round 41 received 190 results and 0 failures
Krum Server | DEBUG flwr 2024-03-20 13:34:05,396 | server.py:222 | fit_round 42: strategy sampled 190 clients (out of 190)
Krum Server | DEBUG flwr 2024-03-20 13:34:05,981 | server.py:236 | fit_round 42 received 190 results and 0 failures
Krum Server | INFO flwr 2024-03-20 13:34:06,245 | server.py:125 | fit progress: (42, 0.8277862917612009, {'accuracy': 0.6032}, 85.34432007092983)
